,DATE,LAT,LON,TC_PRESENCE,SSHS,NAME
0,1980-01-01,-16.087733333333336,81.3261,1,0.0,DANITZA:WILF
1,1980-01-02,-15.77262,76.05636,1,-1.0,DANITZA:WILF
2,1980-01-03,-15.0,77.0,1,-5.0,DANITZA
3,1980-01-04,,,0,,
4,1980-01-05,-11.771933333333335,56.1907,1,-5.0,EGLANTINE
5,1980-01-06,-11.5117,53.54656666666667,1,-5.0,EGLANTINE
6,1980-01-07,,,0,,
7,1980-01-08,-13.158125,66.610025,1,-5.0,FLORE
8,1980-01-09,-12.250833333333333,66.80166666666668,1,-5.0,FLORE
9,1980-01-10,-21.274900000000002,46.775575,1,-5.0,NOT_NAMED
10,1980-01-11,-20.299937500000002,48.6925,1,-5.0,NOT_NAMED
11,1980-01-12,-19.7021625,51.710275,1,-5.0,NOT_NAMED
12,1980-01-13,-16.750033333333334,53.0591,1,-5.0,NOT_NAMED
13,1980-01-14,,,0,,
14,1980-01-15,-18.29085,59.49375,1,-5.0,HYACINTHE
15,1980-01-16,-18.9927875,57.88997500000001,1,-5.0,HYACINTHE
16,1980-01-17,-19.69024285714286,56.24827142857142,1,0.0,HYACINTHE
17,1980-01-18,-20.122825,54.2809625,1,0.0,HYACINTHE
18,1980-01-19,-18.7226125,51.660925,1,0.0,HYACINTHE
19,1980-01-20,-17.3194625,50.093312499999996,1,0.0,HYACINTHE
20,1980-01-21,-17.434712500000003,50.384975,1,0.0,HYACINTHE
21,1980-01-22,-20.2944375,50.77165,1,0.0,HYACINTHE
22,1980-01-23,-21.99066,50.544439999999994,1,0.0,HYACINTHE
23,1980-01-24,-21.845162499999997,53.478575000000006,1,1.0,HYACINTHE
24,1980-01-25,-20.873624999999997,52.46478750000001,1,1.0,HYACINTHE
25,1980-01-26,-21.243185714285712,52.27737142857143,1,1.0,HYACINTHE
26,1980-01-27,-22.034133333333333,55.40126666666668,1,0.0,HYACINTHE
27,1980-01-28,,,0,,
28,1980-01-29,,,0,,
29,1980-01-30,,,0,,
30,1980-01-31,,,0,,
31,1980-02-01,-14.1497,68.6194,1,0.0,JACINTHE
32,1980-02-02,-16.36245,64.21105,1,1.0,JACINTHE
33,1980-02-03,-19.60676666666667,60.70793333333334,1,3.0,JACINTHE
34,1980-02-04,-20.466,59.579499999999996,1,3.0,JACINTHE
35,1980-02-05,,,0,,
36,1980-02-06,,,0,,
37,1980-02-07,,,0,,
38,1980-02-08,,,0,,
39,1980-02-09,,,0,,
40,1980-02-10,,,0,,
41,1980-02-11,,,0,,
42,1980-02-12,,,0,,
43,1980-02-13,,,0,,
44,1980-02-14,,,0,,
45,1980-02-15,,,0,,
46,1980-02-16,,,0,,
47,1980-02-17,,,0,,
48,1980-02-18,,,0,,
49,1980-02-19,,,0,,
50,1980-02-20,,,0,,
51,1980-02-21,,,0,,
52,1980-02-22,,,0,,
53,1980-02-23,,,0,,
54,1980-02-24,,,0,,
55,1980-02-25,-17.48995,89.6944,1,2.0,FRED
56,1980-02-26,-17.777218750000003,73.44644375000001,1,0.0,FRED
57,1980-02-27,-15.752588888888889,63.30481111111112,1,0.0,FRED
58,1980-02-28,-15.255675000000002,60.540124999999996,1,0.0,KOLIA
59,1980-02-29,-15.490725000000001,60.689075,1,0.0,KOLIA
60,1980-03-01,-17.2590875,59.858775,1,0.0,KOLIA
61,1980-03-02,-17.9504125,57.992962500000004,1,0.0,KOLIA
62,1980-03-03,-17.7819,57.815287500000004,1,0.0,KOLIA
63,1980-03-04,-19.445950000000003,58.582049999999995,1,0.0,KOLIA
64,1980-03-05,-21.4055375,57.2949875,1,0.0,KOLIA
65,1980-03-06,-21.004616666666667,56.08070000000001,1,0.0,KOLIA
66,1980-03-07,,,0,,
67,1980-03-08,-13.0853625,65.80775,1,0.0,LAURE
68,1980-03-09,-12.291400000000001,61.0941375,1,0.0,LAURE
69,1980-03-10,-12.167075,57.177699999999994,1,0.0,LAURE
70,1980-03-11,-15.4754,55.92675,1,1.0,LAURE
71,1980-03-12,-18.338733333333334,57.339166666666664,1,2.0,LAURE
72,1980-03-13,-20.469533333333334,58.43859999999999,1,3.0,LAURE
73,1980-03-14,-10.392700000000001,70.210675,1,-1.0,NOT_NAMED
74,1980-03-15,-12.300374999999999,66.349975,1,0.0,NOT_NAMED
75,1980-03-16,-12.2391,64.7785125,1,0.0,NOT_NAMED
76,1980-03-17,-11.857,62.0858,1,0.0,NOT_NAMED
77,1980-03-18,-13.4066875,56.97546249999999,1,0.0,NOT_NAMED
78,1980-03-19,-14.249749999999999,52.674625,1,0.0,NOT_NAMED
79,1980-03-20,-15.0,50.0,1,0.0,NOT_NAMED
80,1980-03-21,,,0,,
81,1980-03-22,,,0,,
82,1980-03-23,,,0,,
83,1980-03-24,,,0,,
84,1980-03-25,,,0,,
85,1980-03-26,,,0,,
86,1980-03-27,,,0,,
87,1980-03-28,,,0,,
88,1980-03-29,,,0,,
89,1980-03-30,,,0,,
90,1980-03-31,,,0,,
91,1980-04-01,,,0,,
92,1980-04-02,,,0,,
93,1980-04-03,,,0,,
94,1980-04-04,,,0,,
95,1980-04-05,,,0,,
96,1980-04-06,,,0,,
97,1980-04-07,,,0,,
98,1980-04-08,,,0,,
99,1980-04-09,,,0,,
100,1980-04-10,,,0,,
101,1980-04-11,,,0,,
102,1980-04-12,,,0,,
103,1980-04-13,,,0,,
104,1980-04-14,,,0,,
105,1980-04-15,,,0,,
106,1980-04-16,,,0,,
107,1980-04-17,,,0,,
108,1980-04-18,,,0,,
109,1980-04-19,,,0,,
110,1980-04-20,,,0,,
111,1980-04-21,,,0,,
112,1980-04-22,,,0,,
113,1980-04-23,,,0,,
114,1980-04-24,,,0,,
115,1980-04-25,,,0,,
116,1980-04-26,,,0,,
117,1980-04-27,,,0,,
118,1980-04-28,,,0,,
119,1980-04-29,,,0,,
120,1980-04-30,,,0,,
121,1980-05-01,,,0,,
122,1980-05-02,,,0,,
